week,material_id,material_desc,material_group_id,material_group_desc,abcd,reqs,inventory_ultimo,moq
32,M51304928,SHRINK CAN STELLA 2X3X50CL BE LU 2019,MG2080101,PRINTED SHRINK,A,242000,-527420,121000
33,M51304928,SHRINK CAN STELLA 2X3X50CL BE LU 2019,MG2080101,PRINTED SHRINK,A,0,-527420,121000
34,M51304928,SHRINK CAN STELLA 2X3X50CL BE LU 2019,MG2080101,PRINTED SHRINK,A,0,-527420,121000
35,M51304928,SHRINK CAN STELLA 2X3X50CL BE LU 2019,MG2080101,PRINTED SHRINK,A,0,-527420,121000
36,M51304928,SHRINK CAN STELLA 2X3X50CL BE LU 2019,MG2080101,PRINTED SHRINK,A,0,-527420,121000
37,M51304928,SHRINK CAN STELLA 2X3X50CL BE LU 2019,MG2080101,PRINTED SHRINK,A,0,-527420,121000
8,M51311646,CAN BUD 5% 50CL S_AL 0050D BPANI AT/FR19,MG2030201,ALU NON-EMBOSSED CAN,C,0,407474,500000
9,M51311646,CAN BUD 5% 50CL S_AL 0050D BPANI AT/FR19,MG2030201,ALU NON-EMBOSSED CAN,C,0,407474,500000
10,M51311646,CAN BUD 5% 50CL S_AL 0050D BPANI AT/FR19,MG2030201,ALU NON-EMBOSSED CAN,C,0,407474,500000
11,M51311646,CAN BUD 5% 50CL S_AL 0050D BPANI AT/FR19,MG2030201,ALU NON-EMBOSSED CAN,C,0,407474,500000
12,M51311646,CAN BUD 5% 50CL S_AL 0050D BPANI AT/FR19,MG2030201,ALU NON-EMBOSSED CAN,C,0,407474,500000
13,M51311646,CAN BUD 5% 50CL S_AL 0050D BPANI AT/FR19,MG2030201,ALU NON-EMBOSSED CAN,C,0,407474,500000
14,M51311646,CAN BUD 5% 50CL S_AL 0050D BPANI AT/FR19,MG2030201,ALU NON-EMBOSSED CAN,C,250000,157474,500000
15,M51311646,CAN BUD 5% 50CL S_AL 0050D BPANI AT/FR19,MG2030201,ALU NON-EMBOSSED CAN,C,0,157474,500000
16,M51311646,CAN BUD 5% 50CL S_AL 0050D BPANI AT/FR19,MG2030201,ALU NON-EMBOSSED CAN,C,0,157474,500000
17,M51311646,CAN BUD 5% 50CL S_AL 0050D BPANI AT/FR19,MG2030201,ALU NON-EMBOSSED CAN,C,0,157474,500000
18,M51311646,CAN BUD 5% 50CL S_AL 0050D BPANI AT/FR19,MG2030201,ALU NON-EMBOSSED CAN,C,0,157474,500000
19,M51311646,CAN BUD 5% 50CL S_AL 0050D BPANI AT/FR19,MG2030201,ALU NON-EMBOSSED CAN,C,0,157474,500000
20,M51311646,CAN BUD 5% 50CL S_AL 0050D BPANI AT/FR19,MG2030201,ALU NON-EMBOSSED CAN,C,0,157474,500000
21,M51311646,CAN BUD 5% 50CL S_AL 0050D BPANI AT/FR19,MG2030201,ALU NON-EMBOSSED CAN,C,0,157474,500000
22,M51311646,CAN BUD 5% 50CL S_AL 0050D BPANI AT/FR19,MG2030201,ALU NON-EMBOSSED CAN,C,0,157474,500000
23,M51311646,CAN BUD 5% 50CL S_AL 0050D BPANI AT/FR19,MG2030201,ALU NON-EMBOSSED CAN,C,0,157474,500000
24,M51311646,CAN BUD 5% 50CL S_AL 0050D BPANI AT/FR19,MG2030201,ALU NON-EMBOSSED CAN,C,500000,-342526,500000
25,M51311646,CAN BUD 5% 50CL S_AL 0050D BPANI AT/FR19,MG2030201,ALU NON-EMBOSSED CAN,C,0,-342526,500000
26,M51311646,CAN BUD 5% 50CL S_AL 0050D BPANI AT/FR19,MG2030201,ALU NON-EMBOSSED CAN,C,0,-342526,500000
27,M51311646,CAN BUD 5% 50CL S_AL 0050D BPANI AT/FR19,MG2030201,ALU NON-EMBOSSED CAN,C,0,-342526,500000
28,M51311646,CAN BUD 5% 50CL S_AL 0050D BPANI AT/FR19,MG2030201,ALU NON-EMBOSSED CAN,C,0,-342526,500000
29,M51311646,CAN BUD 5% 50CL S_AL 0050D BPANI AT/FR19,MG2030201,ALU NON-EMBOSSED CAN,C,0,-342526,500000
